round,mode,accuracy,loss,avg_per,jain,energy,est_upload_time,bw_factor,topk,exhausted_clients
1,semi_sync,0.2622,2.0002557084530213,0.043375999999999984,0.49999999999999,165.24693006866576,18.010930068665754,1.0,5,
2,semi_sync,0.3407,1.8986897242220142,0.055623999999999965,0.8333333333333264,93.73348969109266,4.245489691092657,0.8,5,
3,semi_sync,0.419,1.5049364114109474,0.07322999999999993,0.8333333333333302,178.38271268974881,46.750712689748795,0.8432767134299299,5,
4,semi_sync,0.4882,1.377480997314936,0.05545199999999996,0.7999999999999984,141.58391788210804,3.827917882108048,0.836545023205177,5,
5,semi_sync,0.4915,1.4387692997727213,0.047685999999999985,0.7999999999999984,131.27646847945903,3.960468479459019,0.8377233304724585,5,
6,semi_sync,0.5389,1.281515221052532,0.06754199999999996,0.6666666666666655,151.24425567316862,4.0082556731686285,0.8472451224322797,5,
7,semi_sync,0.5525,1.2103856447376782,0.05045399999999996,0.714285714285713,108.71027546705285,3.8502754670528483,0.8311250721440824,5,
8,semi_sync,0.559,1.2353521841990798,0.02777199999999998,0.7999999999999984,120.08140775094796,3.821407750947949,0.8238561474185258,5,
9,semi_sync,0.6121,1.0582154159304462,0.06321999999999998,0.7999999999999984,142.2632628514136,4.507262851413581,0.8309646852057809,5,
10,semi_sync,0.5925,1.1524307124222382,0.04769599999999996,0.7999999999999984,131.62362188011332,4.307621880113316,0.8273325491213215,5,
11,semi_sync,0.6156,1.1272502782978588,0.05161399999999996,0.7407407407407394,129.212783658849,3.8607836588489732,0.823328047637095,5,
12,semi_sync,0.6145,1.104706048210965,0.051979999999999985,0.7407407407407394,823.5201512466996,702.0881512466996,0.8161222139661739,5,
13,semi_sync,0.6385,1.0401521091219745,0.06739199999999998,0.7407407407407394,140.98225142788075,3.4382514278807434,0.9255258163519049,5,
14,semi_sync,0.6584,1.0275546508499338,0.04841399999999998,0.714285714285713,141.43767924520796,3.681679245207946,0.9256035929200674,5,
15,semi_sync,0.6449,0.9964235100565078,0.04770799999999996,0.6666666666666655,131.2210118483235,3.905011848323519,0.9250077327367897,5,
16,semi_sync,0.6637,0.9744149506846561,0.027607999999999976,0.714285714285713,128.5850842319591,3.8330842319590834,0.9248858032256275,5,
17,semi_sync,0.683,0.8975549468511268,0.02760599999999998,0.7407407407407394,126.58971985529197,5.157719855291971,0.8083162741191039,5,
18,semi_sync,0.708,0.8202208612538591,0.06106399999999997,0.7407407407407394,168.9484709515159,30.804470951515896,0.8134042152000787,5,
19,semi_sync,0.6478,1.1910104464881028,0.06698799999999996,0.8333333333333316,103.11996342406695,4.539963424066946,0.8356468443427166,5,
20,semi_sync,0.7063,0.8983608642710915,0.05106599999999998,0.7999999999999984,124.79036199956,3.7543619995600017,0.8439632997287854,5,
21,semi_sync,0.7005,0.894030697738068,0.07798999999999996,0.8333333333333316,135.41321940827578,3.7812194082757813,0.8450863410357079,5,
22,semi_sync,0.7028,0.8582299925103972,0.055013999999999966,0.8333333333333316,127.38316045803754,5.231160458037538,0.8424750420096528,5,
23,semi_sync,0.7192,0.8410945172551312,0.05906599999999997,0.714285714285713,142.755692135745,4.611692135745004,0.8188113732786895,5,
24,semi_sync,0.6943,0.9458100418501263,0.03130399999999997,0.714285714285713,119.42469834366713,4.2726983436671375,0.8142482355459001,5,
25,semi_sync,0.7269,0.8320229362837875,0.07868199999999995,0.7407407407407394,140.45045528235272,4.042455282352737,0.8161275524318392,5,
26,semi_sync,0.7359,0.7869196315354938,0.05562199999999996,0.8333333333333316,103.74454316960829,4.056543169608288,0.814363266959675,5,
27,semi_sync,0.7576,0.7200862173038193,0.05175999999999996,0.8333333333333316,126.22199155660101,4.069991556601012,0.8226426626652947,5,
28,semi_sync,0.7024,0.9370707665817647,0.046185999999999935,0.8333333333333316,119.1840324792698,4.244032479269806,0.8256176217558419,5,
29,semi_sync,0.774,0.6569658962986137,0.07914599999999997,0.8695652173913024,714.1330449923678,598.9810449923679,0.825703298183132,5,
30,semi_sync,0.7511,0.7806584597388401,0.06329599999999994,0.8333333333333316,136.43827795931264,5.174277959312628,0.9255542353309523,5,
31,semi_sync,0.7869,0.6210652144649361,0.055231999999999934,0.7999999999999984,159.5731721547342,38.001172154734185,0.9232651846408211,5,
32,semi_sync,0.6952,0.9117501853387567,0.07468599999999996,0.8333333333333316,125.9208974126775,3.768897412677507,0.920930102905562,5,
33,semi_sync,0.7279,0.83890855689592,0.059135999999999946,0.8333333333333316,117.95425730050779,24.898257300507797,0.9204584215444593,5,
34,semi_sync,0.8007,0.5861306382885462,0.06259600000000001,0.8333333333333316,141.9405946506176,4.184594650617637,0.8308341566639669,5,
35,semi_sync,0.7701,0.6830464216727244,0.07901199999999997,0.7999999999999984,168.33234348556226,31.924343485562268,0.8291100834325438,5,
36,semi_sync,0.776,0.6732388500925861,0.03152599999999994,0.7999999999999984,142.02588658415723,4.481886584157214,0.8354005886881466,5,
37,semi_sync,0.7688,0.6713368273988555,0.058004,0.6451612903225796,133.12347917943595,4.45947917943596,0.8306169004087575,5,7
38,semi_sync,0.7879,0.6244861498663697,0.03583799999999991,0.7407407407407394,98.54308344213348,4.355083442133482,0.8261111644447627,5,7
39,semi_sync,0.8047,0.585604113114031,0.051999999999999956,0.7692307692307677,111.70007242605595,4.156072426055967,0.83900159010803,5,7
40,semi_sync,0.8019,0.5828220052055165,0.05137199999999994,0.7692307692307677,102.96481984681748,4.000819846817485,0.8291182919868049,5,7
41,semi_sync,0.8176,0.5311486041998561,0.06707399999999994,0.7407407407407394,105.19760550762686,4.377605507626846,0.8323618577107512,5,7
42,semi_sync,0.7984,0.6007169383236125,0.03176199999999998,0.7407407407407394,112.94666887190414,4.266668871904134,0.8127102462267368,5,7
43,semi_sync,0.803,0.5906789238694348,0.04825199999999996,0.714285714285713,103.44448773584124,9.256487735841239,0.8084010927567661,5,7
44,semi_sync,0.814,0.5527950136721889,0.04783999999999996,0.6666666666666655,761.6314595095581,644.6074595095582,0.8120557311682706,5,7
45,semi_sync,0.8003,0.6128920690168308,0.05852799999999999,0.714285714285713,105.59127052604872,3.791270526048719,0.9288881644724567,5,7
46,semi_sync,0.8179,0.5368065098418465,0.04685599999999996,0.714285714285713,103.88700068588156,3.7870006858815635,0.9288623209353032,5,7
47,semi_sync,0.8003,0.6041752084901061,0.04801,0.7692307692307677,95.61997576071731,3.6799757607173187,0.9294570750038822,5,7
48,semi_sync,0.8156,0.5607276792767681,0.034863999999999964,0.7692307692307677,113.38774719356596,3.5957471935659586,0.9299707428597349,5,7
49,semi_sync,0.7995,0.6118342929248568,0.047073999999999915,0.7692307692307677,98.53776720235649,3.99776720235649,0.8154624267065604,5,7
50,semi_sync,0.8261,0.5188424055334888,0.04324599999999994,0.7692307692307677,582.0115206803089,480.81152068030883,0.8185727730615555,5,7
51,semi_sync,0.8299,0.5113174598428267,0.03929799999999996,0.714285714285713,103.68968709668086,3.589687096680856,0.9235790891392363,5,7
52,semi_sync,0.8124,0.5591296719599373,0.05686999999999994,0.7692307692307677,88.72840237469191,3.6684023746919077,0.922885828692559,5,7
53,semi_sync,0.8235,0.5294772013078762,0.06761999999999993,0.7692307692307677,146.94625726564848,37.154257265648496,0.9250042871717012,5,7
54,semi_sync,0.8369,0.49686176886286915,0.055055999999999904,0.7692307692307677,103.75828137293455,3.4742813729345343,0.9208455645052919,5,7
55,semi_sync,0.8241,0.5433056875120236,0.04399799999999996,0.7692307692307677,111.97096298658724,3.8909629865872457,0.8492228940173407,5,7
56,semi_sync,0.8273,0.5342803371103504,0.05123199999999992,0.714285714285713,104.83237306713777,4.732373067137779,0.8464051033352223,5,7
57,semi_sync,0.7897,0.6653462505038781,0.06321399999999995,0.714285714285713,142.7312013708743,34.05120137087428,0.840925558979311,5,7
58,semi_sync,0.8329,0.5107942472530317,0.06290799999999996,0.6451612903225796,113.81466651268231,4.022666512682296,0.8377044352083506,5,7
59,semi_sync,0.8254,0.5406422720679754,0.05523199999999998,0.714285714285713,129.17210523478244,28.888105234782415,0.8341815947070585,5,5|7
60,semi_sync,0.8053,0.5880411852009689,0.06279199999999996,0.7999999999999984,83.73468432435611,4.418684324356109,0.8281558827103174,5,5|7
